Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	22.56561	13.767345	100.0	8.0	22.56561	-0.2107043	0.045297004	-0.1466495	-0.4532264	5000	1.9741059e-08	322.56262	-0.025630144	-125.356384	0.6895591	0.011092528	0.197	79.0	2.028798818588257
1	30.67284	17.599745	114.0	8.0	30.67284	6.2031975	1.311297	15.347208	4.7758064	10000	-3.5202504e-08	310.79562	-0.022779113	-156.95227	0.68384206	0.007937376	0.1102	79.0	4.042818546295166
2	44.48649	27.994806	159.0	10.0	44.48649	17.423979	1.6091071	24.21508	10.919051	15000	-1.7237664e-08	346.02576	-0.025097651	-90.32196	0.6630065	0.009148423	0.091	79.0	6.063749313354492
3	64.73333	41.422806	200.0	10.0	64.73333	23.754906	6.2996106	32.621155	-9.641524	20000	-2.361536e-08	528.848	-0.019739324	-144.10287	0.6402346	0.009741853	0.0844	79.0	8.140931844711304
4	113.09091	52.526104	200.0	14.0	113.09091	32.279774	8.793595	42.893192	-8.324645	25000	-4.565716e-09	552.856	-0.014642201	-200.03613	0.6235064	0.004424488	0.0674	79.0	10.116341590881348
5	150.90625	51.58086	200.0	18.0	150.90625	44.581177	13.821604	57.83499	-5.1582494	30000	-3.6013127e-08	376.56717	-0.009668718	-82.5253	0.6022182	0.004438429	0.081	79.0	11.981554985046387
6	165.6	47.18658	200.0	46.0	165.6	55.506596	13.209443	68.93271	-16.10906	35000	-6.6399575e-09	410.98114	-0.007444338	-53.745514	0.5836904	0.0034242568	0.0394	79.0	13.91398811340332
7	196.68	8.0782175	200.0	170.0	196.68	52.59891	14.623601	68.95268	-12.638815	40000	6.556511e-09	345.71448	-0.0068754675	-61.55829	0.57060564	0.005709001	0.057	79.0	15.837240934371948
8	189.46153	22.108528	200.0	106.0	189.46153	55.36465	19.942942	74.274185	-24.09537	45000	8.665025e-09	303.38028	-0.006735346	-37.164764	0.55384344	0.0030318652	0.053	79.0	17.776590824127197
9	197.32	9.142078	200.0	163.0	197.32	57.005676	15.531534	74.91355	-1.7854869	50000	8.877646e-09	319.23138	-0.005811345	-17.255249	0.54911935	0.0034455422	0.0542	79.0	19.705549240112305
10	200.0	0.0	200.0	200.0	200.0	60.832687	13.497257	74.777374	6.417915	55000	2.18153e-09	378.36212	-0.0031480507	-32.928802	0.54409564	0.0033716368	0.0208	79.0	21.63115692138672
11	200.0	0.0	200.0	200.0	200.0	62.385605	9.790181	72.17904	25.051538	60000	-1.6288831e-09	480.8149	-0.0029488073	-38.349976	0.54618	0.004247081	0.0172	79.0	23.615684747695923
12	200.0	0.0	200.0	200.0	200.0	49.4438	17.617598	67.588905	-23.735207	65000	-9.268522e-09	421.3311	-0.0053091366	-98.5607	0.5409124	0.0028447835	0.033	79.0	25.59606957435608
13	200.0	0.0	200.0	200.0	200.0	65.054085	9.135126	75.75705	30.535797	70000	6.1377885e-09	445.3989	-0.002467042	-87.863434	0.53422576	0.0039493307	0.0248	79.0	27.603529453277588
14	200.0	0.0	200.0	200.0	200.0	63.1358	9.56161	72.70392	18.153221	75000	-6.6377224e-09	511.747	-0.003470212	-96.2673	0.53619	0.004366518	0.0272	79.0	29.591651678085327
15	196.6	13.308644	200.0	134.0	196.6	53.639343	15.361782	70.89391	-22.072655	80000	2.6404858e-09	400.9399	-0.003455102	-50.839966	0.5315618	0.004454508	0.0178	79.0	31.6227867603302
16	200.0	0.0	200.0	200.0	200.0	54.288963	14.515301	73.75144	4.324553	85000	3.0228495e-08	366.15036	-0.00340683	-17.683594	0.5386334	0.0033461305	0.026	79.0	33.675636291503906
17	200.0	0.0	200.0	200.0	200.0	63.38652	10.81827	77.27415	13.208268	90000	1.411438e-08	465.93796	-0.0022203869	-48.460846	0.52949923	0.003369642	0.0218	79.0	35.64789867401123
18	200.0	0.0	200.0	200.0	200.0	60.59413	9.993068	72.95466	5.998476	95000	1.6834121e-09	477.44855	-0.0027852145	-16.330658	0.52074784	0.0017533837	0.0194	79.0	37.67389678955078
19	200.0	0.0	200.0	200.0	200.0	53.446236	10.644636	69.528435	21.69636	100000	-1.5467405e-09	404.8225	-0.0043107825	-52.975098	0.52859235	0.00711632	0.0366	79.0	39.687246561050415
20	200.0	0.0	200.0	200.0	200.0	67.34052	7.0467653	75.28627	37.02285	105000	-1.7178058e-08	638.5674	-0.0034053985	-95.78479	0.5274087	0.0024935498	0.027	79.0	41.732035398483276
21	200.0	0.0	200.0	200.0	200.0	57.780388	7.3039603	64.950264	22.863895	110000	4.762411e-09	536.5689	-0.0020612117	-30.995056	0.5276135	0.0044657663	0.0108	79.0	43.76334571838379
22	200.0	0.0	200.0	200.0	200.0	61.501312	4.754637	69.887665	44.12661	115000	6.586313e-10	585.1814	-0.0021881335	-52.724243	0.53695816	0.0028174059	0.0066	79.0	45.789472579956055
23	200.0	0.0	200.0	200.0	200.0	59.2716	4.6102357	67.023994	41.76113	120000	9.2089175e-10	565.43207	-0.0029620938	-12.270508	0.5274649	0.0028059366	0.0208	79.0	47.79709529876709
24	200.0	0.0	200.0	200.0	200.0	59.426487	3.4450307	65.25336	43.384995	125000	-3.3453107e-09	543.8938	-0.0019263014	-32.24951	0.5210086	0.0018220046	0.0156	79.0	49.806825399398804
25	197.08	14.305019	200.0	127.0	197.08	57.01545	5.7536187	66.032425	37.4525	130000	8.2507725e-09	584.9952	-0.0023715047	-25.132751	0.53002185	0.0013487152	0.0026	79.0	51.79915189743042
26	197.64	11.561591	200.0	141.0	197.64	56.900776	4.220528	62.76952	39.997044	135000	6.058812e-09	577.4555	-0.0017880877	-13.299133	0.5254856	0.0024955142	0.011	79.0	53.77320122718811
27	200.0	0.0	200.0	200.0	200.0	57.9947	3.4740424	63.25566	42.41123	140000	7.96318e-09	581.5636	-0.001382994	-5.4816284	0.5246962	0.0007197852	0.0066	79.0	55.7605345249176
28	200.0	0.0	200.0	200.0	200.0	58.45419	3.571386	63.82654	41.75438	145000	-9.232014e-09	574.2511	-0.002262023	-7.305359	0.5263901	0.0048421286	0.0244	79.0	57.69840121269226
29	200.0	0.0	200.0	200.0	200.0	54.116306	6.740972	65.5093	31.184887	150000	-8.803606e-09	533.8319	-0.0020386893	-18.751587	0.52757365	0.0029562914	0.0142	79.0	59.73021626472473
30	200.0	0.0	200.0	200.0	200.0	59.605007	7.683934	71.496864	32.163475	155000	4.8440882e-09	438.5121	-0.0020310415	-51.294098	0.51335955	0.0061899503	0.0132	79.0	61.738774061203
31	200.0	0.0	200.0	200.0	200.0	62.542076	10.772242	85.93983	31.144545	160000	4.5806168e-09	601.1835	-0.0026565753	-49.11725	0.51002616	0.003828889	0.03	79.0	63.780173778533936
32	200.0	0.0	200.0	200.0	200.0	60.061737	6.848479	73.948006	41.818874	165000	-4.9613416e-09	637.9595	-0.0014527008	-52.92798	0.50877976	0.0014096018	0.0064	79.0	65.7956132888794
33	200.0	0.0	200.0	200.0	200.0	57.62079	2.4853911	61.14642	42.81861	170000	1.0438264e-09	586.0421	-0.0027496745	-7.958069	0.5115155	0.0013704044	0.0206	79.0	67.78009009361267
34	195.0	24.494898	200.0	75.0	195.0	58.32435	2.0159311	62.324684	48.848083	175000	9.033084e-09	573.0735	-0.003561869	-10.496216	0.5307266	0.006470948	0.0332	79.0	69.76345872879028
35	200.0	0.0	200.0	200.0	200.0	56.945824	4.152937	64.00053	32.81191	180000	1.066029e-08	563.04047	-0.0018342801	-46.167114	0.52154994	0.0009331131	0.0092	79.0	71.81991052627563
36	200.0	0.0	200.0	200.0	200.0	59.506077	6.471598	67.09829	31.449827	185000	-3.3460557e-09	494.06625	-0.0028160706	-21.994263	0.5215055	0.004372578	0.017	79.0	73.88018226623535
37	200.0	0.0	200.0	200.0	200.0	58.623367	7.41033	72.22394	26.472784	190000	-9.909272e-10	561.48663	-0.0030561585	-15.209778	0.51500076	0.00022643027	0.0228	79.0	75.8625648021698
38	200.0	0.0	200.0	200.0	200.0	57.07743	6.793329	67.48905	34.29622	195000	-1.8239021e-09	600.5003	-0.0041217296	-21.857178	0.53439814	0.0031437455	0.032	79.0	77.86137509346008
39	200.0	0.0	200.0	200.0	200.0	59.093388	3.989346	66.6296	29.90372	200000	-4.667789e-09	557.02045	-0.0024649499	-18.677979	0.5341855	0.0026302538	0.0108	79.0	79.91096043586731
40	200.0	0.0	200.0	200.0	200.0	58.86507	4.825027	66.024055	41.70981	205000	-1.500994e-08	575.39215	-0.0027860166	-8.064331	0.5262559	0.0030373714	0.0182	79.0	81.94393491744995
41	200.0	0.0	200.0	200.0	200.0	57.724773	4.5501266	68.16354	40.986244	210000	5.2511693e-09	566.6613	-0.0016077101	-3.6795044	0.5255166	0.003171883	0.0076	79.0	83.96432495117188
42	200.0	0.0	200.0	200.0	200.0	56.66331	4.6337776	70.36789	43.629025	215000	7.2419644e-09	570.1689	-0.0023370718	-15.241577	0.52103996	0.0017805693	0.0078	79.0	85.90703201293945
43	200.0	0.0	200.0	200.0	200.0	59.22911	4.815276	66.80296	33.420803	220000	7.687509e-09	596.861	-0.0020143013	-39.503662	0.52392167	0.0004660945	0.0106	79.0	87.86746621131897
44	200.0	0.0	200.0	200.0	200.0	57.188408	5.7012205	73.39118	42.633415	225000	7.0273876e-09	564.0162	-0.0024949398	-14.30719	0.5163127	0.004680795	0.0148	79.0	89.84506821632385
45	200.0	0.0	200.0	200.0	200.0	60.124405	5.390311	73.27846	42.59405	230000	-6.870902e-09	596.2605	-0.0022430695	-13.752563	0.5156921	0.0013950992	0.0168	79.0	91.84207487106323
46	200.0	0.0	200.0	200.0	200.0	57.120594	3.787653	66.91216	43.554413	235000	-6.4611436e-09	541.4006	-0.0021381418	-15.259766	0.5105834	0.0019184353	0.0124	79.0	93.80122256278992
47	200.0	0.0	200.0	200.0	200.0	58.07682	6.63275	74.65315	36.612362	240000	1.2313574e-08	575.64856	-0.0039943727	-14.527039	0.5016929	0.0039803693	0.0348	79.0	95.76390814781189
48	200.0	0.0	200.0	200.0	200.0	57.456738	4.6481194	70.15307	42.400402	245000	-1.1724234e-08	534.3843	-0.0026723638	-17.520203	0.5019562	0.004622474	0.0088	79.0	97.70401763916016
49	195.8	20.575712	200.0	95.0	195.8	58.298164	7.2451434	75.62535	36.256134	250000	3.7193297e-09	468.1847	-0.0025160154	-26.092285	0.5022532	0.002330091	0.0246	79.0	99.6338222026825
50	200.0	0.0	200.0	200.0	200.0	56.8971	8.996822	84.14396	26.246763	255000	-1.0824204e-08	502.00055	-0.0026019013	-6.9013367	0.49739522	0.00553526	0.025	79.0	101.5434193611145
51	200.0	0.0	200.0	200.0	200.0	66.751785	6.697809	85.385925	45.64847	260000	5.6251883e-09	594.0546	-0.003902376	-86.70984	0.48632476	0.0052111787	0.0308	79.0	103.46136593818665
52	200.0	0.0	200.0	200.0	200.0	60.209114	9.513225	84.268875	37.985523	265000	1.8849224e-08	769.8779	-0.0055303494	-183.48566	0.48423296	0.005546871	0.0422	79.0	105.38034510612488
53	200.0	0.0	200.0	200.0	200.0	57.746086	3.959673	67.199394	42.964497	270000	-8.064508e-09	557.1653	-0.0030519718	-57.33603	0.48355836	0.0049357363	0.039	79.0	107.31983494758606
54	200.0	0.0	200.0	200.0	200.0	53.4051	9.36935	79.451744	21.357353	275000	-1.0353327e-08	438.1074	-0.0028512867	-47.820526	0.483891	0.0046591265	0.0184	79.0	109.27568459510803
55	200.0	0.0	200.0	200.0	200.0	63.833332	11.506299	91.88025	32.879837	280000	2.9295684e-09	565.7798	-0.0021591692	-43.272522	0.4809019	0.0026763985	0.01	79.0	111.22222208976746
56	195.0	24.494898	200.0	75.0	195.0	61.4502	8.12823	82.29024	29.233139	285000	-6.2286853e-10	534.85706	-0.0036100915	-23.46231	0.47437206	0.0033572856	0.0252	79.0	113.44295930862427
57	200.0	0.0	200.0	200.0	200.0	60.212624	7.8681283	83.45646	26.794634	290000	5.3703784e-09	571.17566	-0.0029744706	-16.050049	0.4800656	0.004736001	0.0168	79.0	115.54459142684937
58	200.0	0.0	200.0	200.0	200.0	58.8092	5.7699413	72.21812	37.377342	295000	-1.9393862e-09	653.34863	-0.003934845	-62.7005	0.47341833	0.004907974	0.0282	79.0	117.67409491539001
59	200.0	0.0	200.0	200.0	200.0	58.091408	1.7587166	61.222786	49.32767	300000	4.211068e-09	591.5923	-0.0021633725	-66.50775	0.4621651	0.0020051238	0.0108	79.0	119.71315026283264
60	200.0	0.0	200.0	200.0	200.0	58.699738	5.03578	70.71746	41.07639	305000	1.9188226e-08	558.1534	-0.0022191291	-2.9692993	0.46256167	0.0016320305	0.0152	79.0	121.77003121376038
61	200.0	0.0	200.0	200.0	200.0	58.047794	5.130979	73.79803	42.97531	310000	4.4107437e-10	561.5665	-0.0029827915	-5.902649	0.47527057	0.003260181	0.0222	79.0	123.78287744522095
62	197.44	12.541387	200.0	136.0	197.44	58.892326	5.412778	74.10942	35.656666	315000	3.3572316e-09	573.8358	-0.003435066	-11.564941	0.4593746	0.0032135246	0.0164	79.0	125.79629969596863
63	200.0	0.0	200.0	200.0	200.0	58.59324	4.462524	70.08805	38.03794	320000	-9.483099e-09	572.1755	-0.0022470048	-1.5427856	0.45550394	0.0035222617	0.014	79.0	127.76073217391968
