Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	10.034137	5.282087	39.0	3.0	10.034137	0.06519244	0.0177586	0.10515506	-0.0078003258	5000	8.354187e-08	66.323975	-0.022345344	-38.496704	0.9189386	0.015289208	0.192	22.0	2.246335506439209
1	11.911695	6.9707427	60.0	4.0	11.911695	5.5152125	0.749537	11.805565	4.753538	10000	-4.132688e-08	46.935997	-0.02773125	-15.741684	0.9125925	0.012391388	0.2004	79.0	4.7595415115356445
2	14.996997	8.819341	52.0	4.0	14.996997	8.064533	1.8379544	10.426076	-0.43746614	15000	-1.5591086e-08	48.010185	-0.024934402	-6.1823196	0.89089465	0.015610083	0.1862	14.0	6.845879077911377
3	20.559671	13.377686	100.0	5.0	20.559671	9.993067	2.6030076	13.252689	-1.9626098	20000	1.9073487e-09	104.31193	-0.019901188	-17.478188	0.8854007	0.015626162	0.2066	15.0	8.965155601501465
4	26.967567	16.943756	115.0	4.0	26.967567	13.616025	3.3182466	17.609426	-3.8782065	25000	1.1552871e-08	143.9204	-0.019751072	-18.129517	0.87875223	0.015151155	0.1572	16.0	11.000993490219116
5	37.57143	20.468676	102.0	6.0	37.57143	15.947381	5.0239472	22.695303	-9.468407	30000	1.35123726e-08	173.41188	-0.021753836	-31.597534	0.87242997	0.011478983	0.114	79.0	13.289242506027222
6	52.957447	28.529911	155.0	8.0	52.957447	20.490072	6.406594	29.599728	-12.485428	35000	3.5238266e-08	253.2048	-0.02118672	-65.58145	0.85821706	0.010693524	0.112	79.0	15.569253206253052
7	81.666664	41.04659	207.0	15.0	81.666664	27.461212	9.369295	39.85988	-10.78003	40000	-2.5439263e-08	382.95	-0.016990412	-111.02545	0.8335492	0.006147929	0.0858	79.0	17.79349184036255
8	105.25532	60.217148	315.0	21.0	105.25532	37.197483	11.600587	52.21193	-9.654835	45000	-3.1292438e-09	391.4381	-0.014465723	-86.892365	0.8165813	0.008285229	0.081	79.0	20.00051784515381
9	172.0	97.07303	429.0	67.0	172.0	44.22622	16.406101	64.75032	-10.712054	50000	8.85725e-09	530.6122	-0.017409602	-238.00278	0.8085704	0.008711745	0.118	79.0	22.24009609222412
10	442.72726	217.32845	803.0	98.0	442.72726	57.7592	16.293869	80.7934	-11.79361	55000	-6.842613e-09	931.1416	-0.017162228	-522.0369	0.8060671	0.0063450704	0.1068	79.0	24.492969036102295
11	867.8	264.4	1000.0	339.0	867.8	86.89258	6.140739	96.75856	35.0567	60000	-2.5129319e-08	195.94714	-0.013474437	-148.29413	0.79138243	0.003796733	0.0696	79.0	26.794318199157715
12	1000.0	0.0	1000.0	1000.0	1000.0	98.71055	3.6653726	103.88033	82.50771	65000	8.4340573e-10	15.148472	-0.013526177	-8.733131	0.7727278	0.006536287	0.079	79.0	29.026348114013672
13	916.6	166.8	1000.0	583.0	916.6	100.90676	1.8658617	104.21329	90.05463	70000	9.059906e-10	98.59419	-0.010215281	-10.25824	0.74681294	0.008506488	0.0786	79.0	31.26753854751587
14	1000.0	0.0	1000.0	1000.0	1000.0	98.84255	1.7577342	101.80606	91.93444	75000	-4.0978194e-09	4.1401296	-0.009295994	-2.116456	0.73924303	0.0032607322	0.0456	79.0	33.57665228843689
15	1000.0	0.0	1000.0	1000.0	1000.0	100.0353	1.1173055	102.09365	94.22838	80000	5.316734e-09	1.2352434	-0.009898667	-0.22097433	0.71497416	0.007118261	0.0576	79.0	35.82813048362732
16	1000.0	0.0	1000.0	1000.0	1000.0	100.56777	0.6741617	101.822334	95.3627	85000	7.82609e-09	0.7063732	-0.010580932	-0.29474196	0.6945883	0.0027398183	0.0488	79.0	38.10447096824646
17	1000.0	0.0	1000.0	1000.0	1000.0	100.23411	0.5365447	101.234535	96.228714	90000	-1.8310548e-08	0.33317137	-0.0061688637	-0.083769664	0.673739	0.0038328746	0.026	79.0	40.472986459732056
18	1000.0	0.0	1000.0	1000.0	1000.0	100.1656	0.39099768	101.019394	97.57738	95000	-4.220009e-09	0.17240985	-0.007347066	-0.030162916	0.6512049	0.0036521733	0.032	79.0	43.013020515441895
19	1000.0	0.0	1000.0	1000.0	1000.0	100.110825	0.32173157	100.87931	97.96784	100000	1.1813641e-08	0.116742074	-0.005466547	-0.021501131	0.6321333	0.003521439	0.0262	79.0	45.73963642120361
20	1000.0	0.0	1000.0	1000.0	1000.0	100.04641	0.29387555	101.417534	96.55303	105000	1.1062622e-08	0.09042532	-0.004783658	-0.007424794	0.61133015	0.0016554804	0.0226	79.0	48.14049744606018
21	1000.0	0.0	1000.0	1000.0	1000.0	100.00608	0.28303188	100.90883	98.03377	110000	-2.8431415e-09	0.08065804	-0.0051194453	-0.005452022	0.59322613	0.00290795	0.0222	79.0	50.679274559020996
22	1000.0	0.0	1000.0	1000.0	1000.0	100.023026	0.25292256	100.723595	97.931656	115000	1.2107193e-10	0.06551229	-0.0051801405	-0.0047257505	0.56706995	0.005189504	0.0316	79.0	53.19786548614502
23	1000.0	0.0	1000.0	1000.0	1000.0	100.06884	0.20897426	100.54904	98.62703	120000	1.0871887e-08	0.055926204	-0.0045905425	-0.00864682	0.5462541	0.0020675687	0.0184	79.0	55.52890467643738
24	1000.0	0.0	1000.0	1000.0	1000.0	99.991234	0.20385654	100.5456	98.318886	125000	5.0544737e-09	0.04537039	-0.0051310295	-0.0016510002	0.53360075	0.00234705	0.0276	79.0	57.787317991256714
25	1000.0	0.0	1000.0	1000.0	1000.0	100.008705	0.18550074	100.62237	98.681984	130000	6.3180923e-09	0.035201337	-0.0038593668	-0.001195509	0.5230255	0.0025172862	0.0178	79.0	60.00905990600586
26	1000.0	0.0	1000.0	1000.0	1000.0	100.01498	0.18404613	100.785095	98.446976	135000	4.1246415e-09	0.03557949	-0.0056405943	-0.0013761483	0.5077944	0.0018038242	0.017	79.0	62.289552450180054
27	1000.0	0.0	1000.0	1000.0	1000.0	100.0058	0.17026287	100.98842	98.71677	140000	1.001358e-09	0.03026477	-0.0044557075	-0.00082377903	0.48861986	0.0015241044	0.0194	79.0	64.5894718170166
28	1000.0	0.0	1000.0	1000.0	1000.0	100.01094	0.16354054	100.555885	98.90954	145000	8.749962e-09	0.027662933	-0.005169583	-0.00076772086	0.4606246	0.00019896295	0.024	79.0	66.83996725082397
29	1000.0	0.0	1000.0	1000.0	1000.0	100.00904	0.14982983	100.583885	98.98715	150000	1.4781952e-09	0.022765031	-0.0036720699	-0.0006989073	0.44065854	0.0012863285	0.0138	79.0	69.08417248725891
30	1000.0	0.0	1000.0	1000.0	1000.0	100.00949	0.1421446	100.57256	99.107765	155000	1.3232231e-09	0.020560423	-0.0050929165	-0.0005102884	0.42609784	0.002821819	0.0306	79.0	71.52877950668335
31	1000.0	0.0	1000.0	1000.0	1000.0	100.00631	0.13833079	100.42188	98.757484	160000	-5.912781e-09	0.020714493	-0.0041482216	-0.00066749565	0.40501878	0.0037542996	0.034	79.0	73.9920027256012
32	1000.0	0.0	1000.0	1000.0	1000.0	99.99969	0.14260693	100.46929	98.818146	165000	-3.3199787e-09	0.021092732	-0.004923518	-0.0006503258	0.38675296	0.0031898133	0.0398	79.0	76.29027009010315
33	1000.0	0.0	1000.0	1000.0	1000.0	100.00114	0.13615298	100.768616	98.97875	170000	2.4914741e-09	0.018783074	-0.005060632	-0.00066676363	0.3702992	0.002638982	0.0268	79.0	78.54166269302368
34	1000.0	0.0	1000.0	1000.0	1000.0	100.00669	0.13279164	100.470024	98.94607	175000	1.244545e-08	0.018517192	-0.0056599276	-0.00050511025	0.36084846	0.0038796721	0.024	79.0	80.74718165397644
35	1000.0	0.0	1000.0	1000.0	1000.0	100.00632	0.12040671	100.61269	98.93485	180000	-4.1842463e-09	0.014990793	-0.004485047	-0.0003719423	0.33388042	0.0036256139	0.0252	79.0	82.89092373847961
36	1000.0	0.0	1000.0	1000.0	1000.0	100.001366	0.12122244	100.39982	99.05653	185000	7.3730946e-09	0.014953197	-0.0047702068	-0.00037465803	0.32839552	0.0032983616	0.0308	79.0	85.42899894714355
37	1000.0	0.0	1000.0	1000.0	1000.0	100.00611	0.11713046	100.53022	99.18902	190000	-1.6601757e-09	0.015636146	-0.0030223243	-0.00039757043	0.31732306	0.0021405302	0.0124	79.0	87.78854870796204
